customer_id,customer_name,customer_type,credit_terms_days,primary_freight_type,account_status,contract_start_date,annual_revenue_potential
cust00001,metro wholesale,dedicated,60,general,inactive,2020-02-20,985117.0
cust00002,national retail,contract,30,retail,active,2021-06-02,4936566.0
cust00003,xyz industries,contract,30,consumer goods,active,2020-09-04,3102814.0
cust00004,american corp,contract,15,food/beverage,active,2020-11-29,3948027.0
cust00005,american distribution,spot,45,consumer goods,active,2020-02-04,3682564.0
cust00006,american industries,dedicated,30,consumer goods,active,2021-02-16,973274.0
cust00007,superior distribution,spot,30,food/beverage,active,2021-02-05,1499297.0
cust00008,american logistics,contract,30,automotive,inactive,2021-07-23,1613275.0
cust00009,xyz wholesale,contract,30,retail,inactive,2020-03-28,4713444.0
cust00010,national logistics,dedicated,45,automotive,active,2021-11-19,3468505.0
cust00011,first group,dedicated,15,electronics,active,2020-06-18,4333669.0
cust00012,abc distribution,dedicated,30,electronics,active,2020-07-17,2931263.0
cust00013,pacific corp,dedicated,60,general,active,2021-08-29,1426880.0
cust00014,elite foods,contract,45,consumer goods,active,2021-04-17,4578681.0
cust00015,first group,spot,15,automotive,active,2020-08-27,3816255.0
cust00016,united industries,dedicated,60,food/beverage,active,2020-03-19,3055508.0
cust00017,superior supply chain,dedicated,60,automotive,active,2021-03-02,2743711.0
cust00018,abc retail,dedicated,60,general,active,2021-06-12,4714416.0
cust00019,american supply chain,contract,30,retail,active,2020-12-28,2823396.0
cust00020,first corp,contract,30,consumer goods,inactive,2021-11-09,3218209.0
cust00021,elite industries,dedicated,60,consumer goods,active,2020-02-19,3558986.0
cust00022,continental supply chain,contract,15,automotive,active,2021-05-23,3712034.0
cust00023,continental industries,spot,30,general,active,2021-09-08,2813302.0
cust00024,xyz distribution,contract,15,electronics,active,2021-05-05,2119327.0
cust00025,pacific retail,contract,30,food/beverage,inactive,2020-03-24,4824000.0
cust00026,abc supply chain,dedicated,30,retail,inactive,2020-10-14,4677044.0
cust00027,superior foods,spot,30,automotive,active,2021-02-03,1894559.0
cust00028,first group,contract,15,automotive,active,2021-12-17,3246257.0
cust00029,superior distribution,dedicated,30,food/beverage,active,2021-07-14,4715736.0
cust00030,abc manufacturing,spot,15,electronics,active,2021-03-25,2231454.0
cust00031,american manufacturing,dedicated,30,automotive,active,2020-05-13,3119970.0
cust00032,continental wholesale,dedicated,45,food/beverage,active,2021-09-01,3895035.0
cust00033,xyz foods,contract,30,consumer goods,active,2020-11-22,3853900.0
cust00034,elite retail,contract,60,consumer goods,active,2021-04-28,3431037.0
cust00035,united distribution,spot,15,food/beverage,active,2021-12-23,101641.0
cust00036,national retail,spot,45,retail,active,2021-11-19,390773.0
cust00037,american retail,spot,15,consumer goods,active,2020-05-16,2486409.0
cust00038,continental supply chain,dedicated,30,food/beverage,active,2020-01-25,236754.0
cust00039,xyz wholesale,contract,60,food/beverage,active,2020-09-02,4442022.0
cust00040,abc corp,contract,60,consumer goods,active,2020-01-28,1233181.0
cust00041,xyz industries,dedicated,60,food/beverage,active,2020-05-01,2632031.0
cust00042,american corp,dedicated,30,automotive,active,2021-07-27,155103.0
cust00043,first manufacturing,spot,30,food/beverage,inactive,2020-12-17,2619383.0
cust00044,american logistics,contract,60,food/beverage,active,2021-10-02,1961320.0
cust00045,first logistics,dedicated,30,food/beverage,active,2021-04-22,1902064.0
cust00046,first wholesale,dedicated,30,food/beverage,active,2021-07-24,2741611.0
cust00047,elite industries,spot,45,electronics,inactive,2020-08-08,282044.0
cust00048,first manufacturing,spot,30,automotive,active,2021-09-30,2414896.0
cust00049,continental corp,spot,45,food/beverage,active,2020-01-30,4744463.0
cust00050,global manufacturing,spot,60,general,active,2020-04-08,4388856.0
cust00051,xyz wholesale,contract,15,general,inactive,2021-01-20,4766776.0
cust00052,metro corp,contract,30,general,active,2020-04-01,4887111.0
cust00053,elite supply chain,spot,60,consumer goods,active,2021-11-01,4895027.0
cust00054,first wholesale,contract,60,consumer goods,active,2021-11-01,1397841.0
cust00055,national corp,contract,30,retail,active,2021-01-02,890937.0
cust00056,continental retail,dedicated,15,electronics,active,2020-03-12,416555.0
cust00057,premier wholesale,contract,15,general,active,2021-07-28,3961861.0
cust00058,superior foods,contract,30,electronics,active,2020-01-14,3083456.0
cust00059,american manufacturing,spot,60,general,active,2020-07-01,1409521.0
cust00060,global wholesale,spot,30,retail,active,2021-09-14,1261052.0
cust00061,elite group,spot,15,automotive,active,2021-08-26,2322881.0
cust00062,premier group,dedicated,30,electronics,inactive,2020-08-20,3179314.0
cust00063,superior group,dedicated,60,automotive,active,2021-05-08,4983476.0
cust00064,metro retail,spot,15,retail,active,2021-02-11,2195951.0
cust00065,united retail,dedicated,15,electronics,active,2020-06-09,2054496.0
cust00066,elite foods,dedicated,15,automotive,active,2020-03-12,2249529.0
cust00067,metro supply chain,contract,60,retail,active,2021-01-11,2619119.0
cust00068,metro manufacturing,contract,30,food/beverage,active,2020-10-09,870956.0
cust00069,continental manufacturing,contract,15,electronics,active,2021-06-18,4885593.0
cust00070,first group,spot,60,automotive,inactive,2021-12-11,3453750.0
cust00071,continental supply chain,spot,60,retail,active,2020-01-27,4873662.0
cust00072,continental distribution,spot,45,food/beverage,inactive,2020-12-11,1923996.0
cust00073,pacific supply chain,dedicated,15,electronics,active,2020-12-31,747613.0
cust00074,first industries,contract,60,food/beverage,active,2021-08-17,2823714.0
cust00075,elite corp,contract,30,general,inactive,2021-04-20,4147781.0
cust00076,metro wholesale,spot,60,electronics,active,2021-11-22,1550411.0
cust00077,metro group,spot,60,retail,inactive,2020-08-23,4195959.0
cust00078,premier wholesale,spot,45,retail,inactive,2020-01-09,4933788.0
cust00079,pacific logistics,spot,15,electronics,active,2020-10-10,899971.0
cust00080,first distribution,spot,60,general,inactive,2020-06-08,2619881.0
cust00081,abc wholesale,spot,30,electronics,active,2021-03-06,413495.0
cust00082,global logistics,spot,45,automotive,inactive,2020-06-25,4934218.0
cust00083,metro logistics,contract,60,retail,inactive,2020-01-19,3300640.0
cust00084,united foods,dedicated,30,consumer goods,active,2020-08-18,758316.0
cust00085,pacific manufacturing,dedicated,15,food/beverage,active,2021-06-21,569113.0
cust00086,premier foods,contract,45,retail,active,2020-05-31,2905063.0
cust00087,global logistics,contract,60,general,inactive,2021-06-24,3018650.0
cust00088,continental foods,dedicated,45,consumer goods,active,2020-06-24,3743209.0
cust00089,united group,spot,30,electronics,active,2021-01-10,3594037.0
cust00090,abc supply chain,dedicated,15,retail,active,2021-02-04,1111167.0
cust00091,american distribution,contract,15,automotive,active,2020-09-09,2001845.0
cust00092,elite group,dedicated,15,consumer goods,active,2021-03-26,195918.0
cust00093,united group,spot,15,general,active,2020-04-28,3308533.0
cust00094,national retail,contract,60,general,active,2020-06-13,554058.0
cust00095,first foods,contract,30,consumer goods,active,2021-07-21,2656708.0
cust00096,continental logistics,dedicated,45,food/beverage,active,2021-10-23,4498846.0
cust00097,national wholesale,contract,60,retail,active,2020-07-07,445461.0
cust00098,national supply chain,dedicated,45,electronics,active,2021-07-27,2778621.0
cust00099,first logistics,dedicated,15,general,inactive,2020-09-28,4629258.0
cust00100,abc foods,contract,30,automotive,active,2021-03-05,4838832.0
cust00101,united corp,contract,60,automotive,active,2021-04-07,1354768.0
cust00102,pacific industries,dedicated,45,electronics,active,2020-06-26,2841662.0
cust00103,united supply chain,contract,45,automotive,active,2020-12-22,4314450.0
cust00104,pacific corp,contract,60,food/beverage,inactive,2020-09-24,1952180.0
cust00105,first corp,spot,45,electronics,active,2022-01-01,1385113.0
cust00106,united retail,contract,45,automotive,active,2020-03-19,523790.0
