maintenance_id,truck_id,maintenance_date,maintenance_type,odometer_reading,labor_hours,labor_cost,parts_cost,total_cost,facility_location,downtime_hours,service_description
maint00000001,trk00085,2022-01-01,inspection,400255,7.8,781.42,10.41,791.83,kansas city,22.2,emergency inspection
maint00000002,trk00041,2022-01-01,tire,268041,0.9,80.91,3207.16,3288.07,seattle,8.0,scheduled tire
maint00000003,trk00090,2022-01-01,preventive,698915,7.2,733.18,1570.57,2303.75,miami,16.5,routine preventive
maint00000004,trk00056,2022-01-02,inspection,416522,2.8,298.8,67.48,366.28,kansas city,34.6,emergency inspection
maint00000005,trk00029,2022-01-02,repair,179968,4.6,409.08,982.59,1391.67,omaha,4.4,emergency repair
maint00000006,trk00120,2022-01-02,preventive,680507,5.0,498.12,3029.54,3527.66,omaha,43.5,scheduled preventive
maint00000007,trk00017,2022-01-02,repair,599078,0.9,83.38,1098.9,1182.28,denver,34.8,emergency repair
maint00000008,trk00038,2022-01-03,tire,605379,7.1,785.79,1483.25,2269.04,miami,3.9,scheduled tire
maint00000009,trk00054,2022-01-03,inspection,232147,4.0,371.51,143.21,514.72,dallas,14.0,routine inspection
maint00000010,trk00076,2022-01-03,inspection,222428,0.6,74.65,14.12,88.77,columbus,23.0,emergency inspection
maint00000011,trk00075,2022-01-04,preventive,316796,2.2,208.96,2521.65,2730.61,atlanta,30.1,emergency preventive
maint00000012,trk00075,2022-01-05,tire,422318,6.9,713.9,2958.89,3672.79,nashville,39.8,scheduled tire
maint00000013,trk00102,2022-01-05,preventive,191896,3.4,320.22,3187.72,3507.94,columbus,13.1,scheduled preventive
maint00000014,trk00107,2022-01-05,transmission,743890,0.8,86.23,1060.27,1146.5,philadelphia,3.8,routine transmission
maint00000015,trk00099,2022-01-06,brake,335024,4.5,540.61,1202.57,1743.18,las vegas,5.4,routine brake
maint00000016,trk00096,2022-01-06,transmission,602868,5.0,549.31,1569.41,2118.72,new york,33.5,scheduled transmission
maint00000017,trk00067,2022-01-06,repair,140744,3.3,398.02,1741.81,2139.83,columbus,24.3,emergency repair
maint00000018,trk00105,2022-01-06,transmission,169446,2.3,213.74,3292.48,3506.22,nashville,13.6,scheduled transmission
maint00000019,trk00052,2022-01-08,brake,416258,7.1,817.97,2041.84,2859.81,dallas,24.8,scheduled brake
maint00000020,trk00042,2022-01-08,transmission,321175,0.7,72.4,64.06,136.46,kansas city,41.7,emergency transmission
maint00000021,trk00044,2022-01-08,brake,414068,6.6,578.45,467.98,1046.43,detroit,7.1,emergency brake
maint00000022,trk00112,2022-01-08,brake,600597,4.8,470.26,477.73,947.99,nashville,17.7,emergency brake
maint00000023,trk00072,2022-01-09,repair,341871,7.3,637.67,1030.93,1668.6,charlotte,11.2,routine repair
maint00000024,trk00068,2022-01-09,preventive,439480,4.3,477.14,2446.27,2923.41,kansas city,8.5,routine preventive
maint00000025,trk00015,2022-01-09,brake,597392,4.1,410.5,944.57,1355.07,new york,6.1,emergency brake
maint00000026,trk00070,2022-01-10,tire,52211,5.3,559.51,2440.72,3000.23,minneapolis,31.1,scheduled tire
maint00000027,trk00008,2022-01-10,transmission,412408,1.4,156.92,2509.7,2666.62,phoenix,28.9,emergency transmission
maint00000028,trk00046,2022-01-10,brake,477257,4.5,459.8,996.88,1456.68,portland,27.1,emergency brake
maint00000029,trk00110,2022-01-10,tire,512580,1.3,120.48,1986.74,2107.22,minneapolis,38.6,emergency tire
maint00000030,trk00065,2022-01-10,repair,531717,0.7,67.34,2353.98,2421.32,omaha,40.0,scheduled repair
maint00000031,trk00091,2022-01-11,preventive,86945,3.5,370.22,3247.63,3617.85,los angeles,35.0,emergency preventive
maint00000032,trk00093,2022-01-11,preventive,747986,2.9,256.81,1550.12,1806.93,miami,9.1,routine preventive
maint00000033,trk00029,2022-01-11,engine,213961,3.6,373.4,698.65,1072.05,portland,23.4,emergency engine
maint00000034,trk00077,2022-01-11,repair,479412,0.9,92.6,1010.33,1102.93,omaha,26.6,emergency repair
maint00000035,trk00034,2022-01-12,preventive,613026,4.5,516.01,1874.09,2390.1,nashville,25.3,scheduled preventive
maint00000036,trk00006,2022-01-12,engine,183616,1.5,129.95,2094.46,2224.41,detroit,36.5,routine engine
maint00000037,trk00117,2022-01-12,inspection,563953,1.1,121.15,13.56,134.71,minneapolis,7.5,scheduled inspection
